number,host,life.stage,sex,frozen.date,extraction.date,mass(mg),abs1,abs2,abs3,abs4,absAVG,ug,ug.vol.correct,ug.mg
80,aff,4,,1/27/20,2/6/20,62.787,0.042,0.04,0.042,0.041,0.0413,1.4217,102.3623675,1.63031149
103,aff,4,,2/29/20,3/5/20,85.275,0.045,0.042,0.044,0.042,0.0433,1.4921,107.4304042,1.259811248
104,aff,4,,2/29/20,3/5/20,68.643,0.054,0.052,0.055,0.052,0.0533,1.844,132.7705877,1.934218897
105,aff,4,,2/29/20,3/5/20,47.928,0.039,0.043,0.039,0.043,0.041,1.4129,101.7288629,2.122535113
114,aff,4,,2/29/20,3/12/20,,,,,,,,,
115,aff,4,,2/29/20,3/12/20,,,,,,,,,
116,aff,4,,2/29/20,6/11/21,47,0.0183,0.0184,,,0.0184,0.6157,44.33334719,0.943262706
117,aff,4,,2/29/20,6/11/21,43,0.0184,0.0186,,,0.0185,0.621,44.71344995,1.039847673
118,aff,4,,2/29/20,6/11/21,51,0.0228,0.0228,,,0.0228,0.7724,55.60972887,1.090386841
119,aff,4,,2/29/20,6/11/21,44,0.0162,0.0164,,,0.0163,0.5436,39.13860957,0.889513854
81,aff,5,,1/27/20,2/6/20,235.714,0.032,0.031,0.033,0.032,0.032,1.0961,78.92269773,0.334823972
98,aff,3,,2/29/20,3/5/20,47.986,0.021,0.024,0.022,0.024,0.0228,0.7706,55.48302795,1.15623365
99,aff,3,,2/29/20,3/5/20,36.458,0.011,0.009,0.011,0.007,0.0095,0.3043,21.90728476,0.600891019
100,aff,3,,2/29/20,3/5/20,41.866,0.007,0.006,0.002,0.005,0.005,0.1459,10.50420217,0.250900544
101,aff,3,,2/29/20,3/5/20,27.439,0.037,0.04,0.037,0.04,0.0385,1.3249,95.39381703,3.476577755
102,aff,3,,2/29/20,3/5/20,27.793,,,,,,,,
95,aff,3,,2/29/20,,,,,,,,,,
106,aff,3,,2/29/20,6/11/21,40,0.0129,0.013,,,0.013,0.4257,30.64964808,0.766241202
107,aff,3,,2/29/20,6/11/21,40,0.0116,0.0118,,,0.0117,0.3817,27.48212514,0.687053129
108,aff,3,,2/29/20,6/11/21,30,0.0113,0.0115,,,0.0114,0.3711,26.72191963,0.890730655
109,aff,3,,2/29/20,6/11/21,40,0.0122,0.0124,,,0.0123,0.4028,29.00253615,0.725063404
110,aff,3,,2/29/20,6/11/21,30,0.0117,0.0118,,,0.0118,0.3835,27.60882606,0.920294202
142,aff,5,,,6/11/21,295,0.166,0.165,0.167,0.166,0.166,5.8122,418.4811572,1.418580194
644,aff,5,,3/7/20,6/11/21,167,0.15,0.149,0.15,0.15,0.1498,5.2403,377.3033589,2.25930155
749,aff,5,,,6/11/21,288,0.163,0.156,0.157,0.156,0.158,5.5307,398.2090103,1.382670175
753,aff,5,,,6/11/21,415,0.286,0.284,,,0.285,10.0004,720.0293413,1.735010461
757,aff,5,,3/7/20,6/11/21,256,0.157,0.157,,,0.157,5.4955,395.674992,1.545605437
759,aff,5,,,6/11/21,303,0.2,0.199,,,0.1995,6.9913,503.370772,1.661289677
760,aff,5,,3/7/20,,,,,,,,,,
763,aff,5,,,,,,,,,,,,
765,aff,5,,,6/11/21,378,0.239,0.242,,,0.2405,8.4342,607.2655245,1.606522552
767,aff,5,,,6/11/21,290,0.139,0.147,,,0.143,5.0028,360.198735,1.242064603
768,aff,5,,,6/11/21,242,0.145,0.147,,,0.146,5.1083,367.8007901,1.519837976
769,aff,5,,,6/11/21,284,0.134,0.135,,,0.1345,4.7036,338.659579,1.192463306
97,aff,5,,2/28/20,3/5/20,242.14,0.059,0.052,0.05,0.052,0.0533,1.844,132.7705877,0.548321582
