number,host,life.stage,sex,frozen.date,extraction.date,mass(mg),abs1,abs2,abs3,abs4,absAVG,ug,ug.vol.correct,ug.mg,notes
1,bi,5,,10/2/19,10/11/19,285.246,0.046,0.046,0.046,0.046,0.046,1.5889,114.3989547,0.00557019,
2,bi,5,,10/2/19,10/11/19,296.91,0.057,0.056,0.053,0.053,0.0548,1.8968,136.5716153,0.006388562,
3,bi,4,,10/2/19,10/11/19,271.826,0.077,0.077,0.079,0.078,0.0778,2.7063,194.8540374,0.009956024,
4,bi,4,,10/2/19,10/11/19,241.303,0.06,0.06,0.058,0.059,0.0593,2.0552,147.9746979,0.00851711,
5,bi,4,,10/2/19,10/11/19,241.884,0.07,0.07,0.068,0.068,0.069,2.3984,172.6813768,0.0099153,
6,bi,5,,10/7/19,10/18/19,290.358,0.05,0.051,,,0.0505,1.7473,125.8020373,0.006017573,
7,bi,3,,10/2/19,10/18/19,53.567,0.004,0.006,,,0.005,0.1459,10.50420217,0.002723537,
8,bi,3,,10/2/19,10/18/19,88.578,,,,,,,,,
9,bi,4,,10/4/19,10/18/19,198.988,0.006,0.005,,,0.0055,0.1635,11.77121135,0.000821603,
10,bi,3,,10/4/19,10/18/19,66.348,0.012,0.013,,,0.0125,0.4099,29.50933982,0.006177307,
12,bi,4,,10/7/19,10/24/19,193.8,0.072,0.075,,,0.0735,2.5567,184.0844594,0.013192614,
14,bi,5,,10/9/19,10/24/19,362.4,0.047,0.049,,,0.048,1.6593,119.4669914,0.004578542,
15,bi,5,,10/9/19,10/24/19,460.6,0.112,0.11,,,0.111,3.8765,279.1101477,0.008416261,
17,bi,3,,10/11/19,10/24/19,76.6,0.044,0.044,,,0.044,1.5185,109.330918,0.019823564,
18,bi,5,,10/11/19,10/24/19,338.1,0.054,0.047,0.048,0.05,0.0498,1.7209,123.9015235,0.00508978,
23,bi,5,,10/21/19,10/31/19,306.688,0.016,0.02,,,0.018,0.6034,43.44644077,0.001967546,
24,bi,4,,10/21/19,10/31/19,182.026,0.002,0.002,,,0.002,0.0403,2.902147108,0.000221439,
25,bi,5,,10/21/19,10/31/19,314.751,0.029,0.028,,,0.0285,0.973,70.05363349,0.003091228,
26,bi,3,,10/21/19,10/31/19,47.286,,,,,,,,,
27,bi,5,,10/25/19,11/7/19,282.2,0.06,0.058,,,0.059,2.0464,147.3411933,0.007251614,
28,bi,5,,10/25/19,11/7/19,297.3,0.054,0.053,,,0.0535,1.8528,133.4040923,0.448718777,
29,bi,3,,10/25/19,11/7/19,111.7,0.02,0.02,,,0.02,0.6738,48.51447748,0.434328357,
30,bi,3,,10/30/19,11/7/19,92.1,0.033,0.033,,,0.033,1.1313,81.45671608,0.884437742,
31,bi,3,,10/30/19,11/7/19,77.4,0.016,0.015,,,0.0155,0.5154,37.11139489,0.479475386,
35,bi,5,,11/4/19,11/22/19,280.028,,,,,,,,,
39,bi,4,,11/8/19,11/22/19,206.563,,,,,,,,,
41,bi,4,,11/13/19,11/22/19,117.577,,,,,,,,,
42,bi,3,,11/15/19,11/22/19,96.223,,,,,,,,,
43,bi,4,,11/20/19,11/22/19,141.76,,,,,,,,,
37,bi,5,,11/4/19,12/6/19,279.926,0.018,0.022,0.023,0.015,0.0195,0.6562,47.2474683,0.168785566,
44,bi,3,,11/22/19,12/6/19,66.022,,,,,,,,,
47,bi,4,,12/1/19,12/6/19,148.622,0.008,0.009,0.012,0.01,0.0098,0.3131,22.54078935,0.151665227,
48,bi,4,,12/1/19,12/6/19,,,,,,,,,,
69,bi,4,,12/22/19,1/23/20,95.302,0.002,0.008,0.005,0.016,0.0078,0.2427,17.47275264,0.183340881,
70,bi,4,,12/22/19,1/23/20,69.692,0.03,0.024,0.022,0.026,0.0255,0.8674,62.45157842,0.896108283,
71,bi,3,,12/22/19,1/23/20,66.764,0.007,0.001,0,0.005,0.0033,0.0843,6.06967005,0.090912319,
33,bi,5,,11/4/19,6/11/21,228,0.0227,0.0228,,,0.0228,0.7706,55.48302795,0.243346614,
34,bi,5,,11/4/19,,,,,,,,,,,
36,bi,5,,11/4/19,,,,,,,,,,,
