number,pair,species,life.stage,sex,extraction.date,mass(mg),absAVG,ug,ug.vol.correct,ug.mg
11,P.biflora,H.charithonia,teneral adult,male,11/15/19,115.043,,2.794292824,201.1890833,1.748816384
13,P.biflora,H.charithonia,teneral adult,male,11/15/19,126.509,,3.714467906,267.4416893,2.114013147
16,P.biflora,H.charithonia,teneral adult,male,11/15/19,119.433,,0.916489307,65.98723012,0.552504167
19,P.biflora,H.charithonia,teneral adult,female,11/15/19,108.659,,3.50329971,252.2375791,2.321368493
20,P.biflora,H.charithonia,teneral adult,female,11/15/19,108.335,,1.805155466,129.9711936,1.199715637
21,P.biflora,H.charithonia,teneral adult,male,11/22/19,127.865,,,,
22,P.biflora,H.charithonia,teneral adult,female,11/22/19,92.017,,,,
32,P.biflora,H.charithonia,teneral adult,female,11/22/19,158.442,,,,
38,P.biflora,H.charithonia,teneral adult,female,11/22/19,128.112,,,,
40,P.biflora,H.charithonia,teneral adult,male,11/22/19,128.211,,,,
46,P.biflora,H.charithonia,teneral adult,male,12/6/19,59.57,0.0368,1.2633,90.95928491,1.526931088
49,P.biflora,H.charithonia,teneral adult,female,12/11/19,99.1,0.0328,1.1225,80.82321149,0.815572265
50,P.biflora,H.charithonia,teneral adult,female,1/23/20,233.652,0.0248,0.841,60.55106466,0.259150637
51,P.lutea,H.charithonia,teneral adult,female,1/23/20,148.86,0.0483,1.6681,120.100496,0.806801666
52,P.lutea,H.charithonia,teneral adult,female,1/23/20,72.184,0.0233,0.7882,56.75003713,0.786185819
53,P.lutea,H.charithonia,teneral adult,male,1/23/20,79.142,0.023,0.7794,56.11653254,0.70906134
54,P.lutea,H.charithonia,teneral adult,female,1/23/20,90.373,0.0068,0.2075,14.93873429,0.165300856
55,P.lutea,H.charithonia,teneral adult,female,1/23/20,114.736,0.0365,1.2545,90.32578032,0.787248817
45,P.biflora,H.charithonia,teneral adult,male,1/30/20,10.25,0.01,0.3219,23.17429394,2.260906726
58,P.biflora,H.charithonia,teneral adult,female,1/30/20,117.086,0.048,1.6593,119.4669914,1.020335406
59,P.biflora,H.charithonia,teneral adult,female,1/30/20,81.5,0.0625,2.1696,156.2102575,1.916690276
68,P.lutea,H.charithonia,teneral adult,male,1/30/20,47.304,0.014,0.4626,33.31036735,0.704176547
72,P.affinis,H.charithonia,teneral adult,male,1/30/20,,,,,
73,P.affinis,H.charithonia,teneral adult,male,2/6/20,169.18,0.082,2.8559,205.6236154,1.215413261
74,P.affinis,H.charithonia,teneral adult,female,2/6/20,163.661,0.0485,1.6769,120.7340006,0.737707826
572,P.affinis,H.charithonia,teneral adult,male,2/6/20,107.89,0.0463,1.5977,115.0324593,1.066201309
577,P.affinis,H.charithonia,teneral adult,male,2/6/20,153.32,0.0393,1.3513,97.29433079,0.634583426
578,P.affinis,H.charithonia,teneral adult,male,2/6/20,98.741,0.0338,1.1577,83.35722984,0.844200786
579,P.affinis,H.charithonia,teneral adult,male,2/6/20,117.302,,,,
610,P.affinis,H.charithonia,teneral adult,female,2/20/20,109.99,0.035,1.2017,86.52475279,0.786660176
56,P.biflora,H.charithonia,teneral adult,,,,,,,
57,P.biflora,H.charithonia,teneral adult,,,,,,,
65,P.biflora,H.charithonia,teneral adult,,,,,,,
67,P.lutea,H.charithonia,teneral adult,,,,,,,
739,P.affinis,H.charithonia,teneral adult,female,6/11/21,88,0.2095,7.3432,528.7109555,6.00807904
661,P.affinis,H.charithonia,teneral adult,male,6/11/21,101,0.245,8.5926,618.6686071,6.125431754
731,P.lutea,H.charithonia,teneral adult,male,6/11/21,89,0.262,9.1909,661.7469191,7.435358642
718,P.lutea,H.charithonia,teneral adult,male,6/11/21,103,0.3635,12.7632,918.949782,8.921842544
733,P.lutea,H.charithonia,teneral adult,female,6/11/21,112,0.1445,5.0556,363.9997625,3.24999788
719,P.lutea,H.charithonia,teneral adult,female,6/11/21,86,0.33,11.5842,834.0601672,9.698374037
154,P.lutea,H.charithonia,teneral adult,female,6/11/21,77,0.2805,9.842,708.6262587,9.202938424
155,P.lutea,H.charithonia,teneral adult,female,6/11/21,102,0.3225,11.3202,815.0550295,7.990735584
156,P.lutea,H.charithonia,teneral adult,male,6/11/21,84,0.3545,12.4464,896.1436169,10.66837639
