number,host,life.stage,sex,frozen.date,extraction.date,mass(mg),abs1,abs2,abs3,abs4,absAVG,ug,ug.vol.correct,ug.mg
60,lut,5,,12/10/19,12/11/19,167.383,0.049,0.053,0.054,0.054,0.0525,1.8176,130.870074,0.78186001
61,lut,5,,12/10/19,12/11/19,205.581,0.037,0.037,0.04,0.041,0.0388,1.3337,96.02732161,0.467102123
62,lut,3,,12/10/19,12/11/19,26.331,0.024,0.027,0.027,0.025,0.0258,0.8762,63.08508301,2.395848354
63,lut,3,,12/10/19,12/11/19,49.465,0.002,0.005,0.005,0.006,0.0045,0.1283,9.237192993,0.186741999
64,lut,4,,12/10/19,12/11/19,75.272,0.03,0.01,0.04,0.02,0.025,0.8498,61.18456925,0.812846334
66,lut,3,,12/17/19,1/23/20,49.288,0,0,0,0,0,0,0,0
82,lut,3,,1/30/20,2/6/20,45.199,0,,,,0,0,0,0
83,lut,3,,2/13/20,2/20/20,32.79,0.012,0.011,,,0.0115,0.3747,26.97532147,0.822669151
84,lut,4,,,2/20/20,110.36,0.017,0.018,,,0.0175,0.5858,42.17943159,0.382198547
85,lut,4,,,2/20/20,80.99,0.04,0.041,,,0.0405,1.3953,100.4618537,1.240422938
86,lut,5,,2/21/20,2/27/20,169.5,0.03,0.026,0.029,0.034,0.0298,1.017,73.22115643,0.431983224
87,lut,4,,2/20/20,2/27/20,83.262,0.011,0.008,0.01,0.013,0.0105,0.3395,24.44130312,0.293546914
88,lut,4,,2/20/20,2/27/20,68.11,0.041,0.044,0.041,0.042,0.038,1.3073,94.12680785,1.381982203
89,lut,4,,2/20/20,2/27/20,54.21,0.021,0.017,0.025,0.017,0.02,0.6738,48.51447748,0.894935943
90,lut,5,,2/20/20,2/27/20,126.083,0.023,0.018,0.025,0.022,0.022,0.7442,53.58251419,0.424978103
91,lut,3,,2/20/20,2/27/20,46.737,0,,,,0,0,0,0
92,lut,3,,2/20/20,2/27/20,45.426,0,,,,0,0,0,0
93,lut,4,,2/21/20,2/27/20,53.319,0.029,0.027,,,0.028,0.9554,68.78662431,1.290095919
94,lut,3,,2/20/20,2/27/20,37.73,0,,,,0,0,0,0
96,lut,5,,2/27/20,3/5/20,243.615,0.048,0.047,0.05,0.049,0.0485,1.6769,120.7340006,0.495593459
111,lut,3,,2/29/20,3/12/20,,,,,,,,,
112,lut,3,,2/29/20,3/12/20,,,,,,,,,
113,lut,3,,2/29/20,3/12/20,,,,,,,,,
129,lut,5,,3/6/20,3/12/20,285,0.25,0.26,,,0.255,8.9446,644.0087906,2.259679967
130,lut,5,,3/6/20,3/12/20,350,0.239,0.24,,,0.2395,8.399,604.7315062,1.727804303
131,lut,5,,3/6/20,3/12/20,302,0.275,0.274,,,0.2745,9.6309,693.4221486,2.29609983
132,lut,4,,3/9/20,3/12/20,85.24,0.035,0.037,,,0.036,1.2369,89.05877114,1.044800225
720,lut,4,,3/6/20,3/12/20,89.73,0.036,0.035,,,0.0355,1.2193,87.79176196,0.97839922
133,lut,5,,3/9/20,6/11/21,225,0.41,0.39,0.041,0.039,0.22,7.7128,555.3181483,2.468080659
146,lut,5,,3/12/20,6/11/21,264,0.286,0.291,,,0.2885,10.1236,728.8984055,2.760978809
147,lut,5,,3/12/20,6/11/21,380,0.113,0.122,,,0.1175,4.1053,295.581267,0.777845439
